Time (ms),Amplitude (V)
66901.0,2.111328125
67003.9,2.111328125
67105.5,2.111328125
67210.1,2.111328125
67312.3,2.111328125
67414.2,2.111328125
67516.4,2.111328125
67618.4,2.111328125
67720.2,2.111328125
67824.1,2.111328125
67926.8,2.111328125
68029.1,2.111328125
68131.5,2.111328125
68233.9,2.111328125
68337.5,2.111328125
68439.9,2.111328125
68541.7,2.111328125
68643.9,2.111328125
68748.4,2.111328125
68850.5,2.111328125
68952.6,2.111328125
69054.8,2.111328125
69157.1,2.111328125
69259.4,2.111328125
69361.4,2.111328125
69463.9,2.111328125
69566.8,2.111328125
69671.4,2.111328125
69773.7,2.111328125
69876.0,2.111328125
69980.4,2.111328125
70082.5,2.111328125
70184.7,2.111328125
70287.7,2.111328125
70390.2,2.111328125
70492.3,2.111328125
70594.4,2.111328125
70696.1,2.111328125
70800.9,2.111328125
70903.0,2.111328125
71005.2,2.111328125
71108.2,2.111328125
71209.5,2.111328125
71312.2,2.111328125
71414.3,2.111328125
71516.6,2.111328125
71618.7,2.111328125
71722.8,2.111328125
71826.9,2.111328125
71928.9,2.111328125
72031.1,2.111328125
72135.3,2.111328125
72238.5,2.111328125
72340.8,2.111328125
72443.2,2.111328125
72546.0,2.111328125
72650.2,2.111328125
72752.1,2.111328125
72854.0,2.111328125
72958.3,2.111328125
73060.5,2.111328125
73162.3,2.111328125
73266.9,2.111328125
73369.4,2.111328125
73471.9,2.111328125
73574.3,2.111328125
73676.6,2.111328125
73778.5,2.111328125
73882.9,2.111328125
73985.0,2.111328125
74088.4,2.111328125
74189.9,2.111328125
74292.5,2.111328125
74394.5,2.111328125
74496.5,2.105546875
74600.2,2.105546875
74704.3,2.105546875
74808.3,2.105546875
74912.6,2.105546875
75017.3,2.105546875
75121.3,2.105546875
75223.2,2.105546875
75325.3,2.105546875
75427.6,2.105546875
75529.5,2.105546875
75631.6,2.105546875
75732.9,2.105546875
75834.8,2.105546875
75937.5,2.105546875
76041.9,2.105546875
76144.1,2.105546875
76248.7,2.105546875
76350.7,2.105546875
76452.9,2.105546875
76554.1,2.105546875
76656.0,2.105546875
76758.0,2.105546875
76860.2,2.105546875
76962.0,2.105546875
77063.8,2.105546875
77166.0,2.105546875
77268.3,2.105546875
77370.7,2.105546875
77474.7,2.105546875
77578.2,2.105546875
77680.0,2.105546875
77784.1,2.105546875
77888.2,2.105546875
77990.5,2.105546875
78092.4,2.105546875
78194.3,2.105546875
78296.6,2.105546875
78399.7,2.105546875
78502.0,2.105546875
78604.0,2.105546875
78708.0,2.105546875
78809.8,2.105546875
78914.2,2.105546875
79018.3,2.105546875
79120.7,2.105546875
79225.6,2.105546875
79327.7,2.105546875
